key,en,bp,es,pt,de,fr,it,cs,pl,ru,ja,ko,TR,zh-CN,zh-TW,nl,el,no,ro,sv,uk,bg,fi,hu,da 
Equipment_Blacklight,UV Light,Lanterna UV,Luz ultravioleta,Lanterna UV,UV-Licht,Lampe UV,Torcia UV,UV Světlo,Latarka UV,УФ-фонарик,UVライト,자외선 손전등,UV Işık,紫外线手电筒,紫外線手電筒,UV-Lamp,Υπεριώδες φως,UV-Lys,Lanternă UV,UV-lampa,УФ-ліхтарик,UV Светлина,UV-taskulamppu,UV-lámpa,UV Light.
Equipment_Crucifix,Crucifix,Crucifixo,Crucifijo,Crucifixo,Kruzifix,Crucifix,Crocifisso,Krucifix,Krucyfiks,Распятие,十字架,십자가,Haç,十字架,十字架,Kruisbeeld,Σταυρός,Krusifiks,Crucifix,Krucifix,Розп'яття,Разпятие,Krusifiksi,Feszület,Kors
Equipment_VideoCamera,Video Camera,Câmera de Vídeo,Cámara de vídeo,Câmera de Vídeo,Videokamera,Caméra vidéo,Videocamera,Videokamera,Kamera wideo,Видеокамера,ビデオカメラ,비디오 카메라,Video kamera,摄影机,攝影機,Videocamera,Βίντεο κάμερα,Videokamera,Cameră Video,Videokamera,Відеокамера,Видео камера,Videokamera,Videókamera,Video kamera
Equipment_SpiritBox,Spirit Box,Spirit Box,Spirit Box,Caixa de Espírito,Geisterbox,Spirit Box,Spirit Box,Spirit Box,Spirit Box,Радиоприёмник,スピリットボックス,주파수 측정기,Ruh Telsizi,通灵盒,通靈盒,EVP-radio,"Ραδιόφωνο",Spirit Box,Spirit Box,Spök låda,Радіоприймач,Дух кутия,Henkiradio,Spirit Box,Ånde Boks
Equipment_Salt,Salt,Sal,Sal,Sal,Salz,Sel,Sale,Sůl,Sól,Соль,塩,소금,Tuz,盐,鹽,Zout,Αλάτι,Salt,Sare,Salt,Сіль,Сол,Suola,Só,Salt
Equipment_Sage,Smudge Sticks,Incenso,Incienso,Paus de Incenso,Räucherstäbchen,Bâton d'encens,Incenso,Vykuřovadlo,Kadzidło,Благовоние,スマッジスティック,정화 향초,Tütsü,圣木,聖木,Smudgesticks,Θυμιατό,Tørket Salvie,Tămâie,Rökelsebukett,Пахощі,Smudge Sticks,Suitsuke,Füstölő,Smudge stick
Equipment_Tripod,Tripod,Tripé,Trípode,Tripé,Stativ,Trépied,Treppiede,Stativ,Statyw,Штатив,三脚,삼각대,Tripot,三脚架,三腳架,Statief,Τρίποδο,Stativ,Trepied,Stativ,Штатив,Статив ,Kolmijalka,Kameraállvány,Stativ
Equipment_StrongFlashlight,Strong Flashlight,Lanterna Forte,Linterna potente,Lanterna Forte,Starke Taschenlampe,Lampe de poche puissante,Torcia Potente,Výkonná Baterka,Mocna latarka,Мощный фонарь,強力な懐中電灯,고급 손전등,Güçlü el feneri,强光手电筒,強光手電筒,Sterke zaklamp,Ισχυρός Φακός,Sterk Lommelykt,Lanternă Puternică,Stark ficklampa,Сильний ліхтарик,Силно фенерче,Tehokas taskulamppu,Erősebb zseblámpa,Stærk Lommelygte
Equipment_MotionSensor,Motion Sensor,Sensor de Movimento,Sensor de movimiento,Sensor de Movimento,Bewegungssensor,Détecteur de mouvement,Sensore Di Movimento,Pohybový senzor,Czujnik ruchu,Датчик движения,モーションセンサー,모션 센서,Hareket sensörü,运动传感器,運動感測器,Bewegingssensor,Αισθητήρας κίνησης,Bevegelsessensor,Senzor De Mișcare,Rörelsesensor,Датчик руху,Сензор за движение,Liiketunnistin,Mozgásérzékelő ,Bevægelsesføler
Equipment_SoundSensor,Sound Sensor,Sensor de Som,Sensor de sonido,Sensor de Som,Audio Sensor,Capteur de son,Sensore Sonoro,Snímač zvuku,Czujnik dźwięku,Датчик звука,サウンドセンサー,사운드 센서,Ses sensörü,声音传感器,聲音感測器,Geluidssensor,Αισθητήρας ήχου,Lyd Sensor,Senzor De Sunet,Ljudsensor,Датчик звуку,Звуков сензор,Äänentunnistin,Hangérzékelő,SOUND SENSOR.
Equipment_Thermometer,Thermometer,Termômetro,Termómetro,Termômetro,Thermometer,Thermomètre,Termometro,Teploměr,Termometr,Термометр,温度計,온도계,Termometre,温度计,溫度計,Thermometer,Θερμόμετρο,Termometer,Termometru,Termometer,Термометр,Термометър ,Lämpömittari,Hőmérő,Termometer
Equipment_SanityPills,Sanity Pills,Pílulas de Sanidade,Pastillas de cordura,Comprimidos de Sanidade,Sanity Pillen,Pilules calmantes,Calmanti,Pilulky na rozum,Pigułki na zdrowie psychiczne,Успокоительное,精神安定剤,진정제,Akıl sağlığı hapları,醒脑丸,醒腦丸,Verstandspillen,Χάπια διανοητικής υγείας,Lykkepille,Pastile Pentru Sănătatea Mintală,stabilisering-tabletter,Заспокійливе,Здравословни хапчета,Mielenterveyslääke,Nyugtató,Sanity Pills.
Equipment_GhostWritingBook,Ghost Writing Book,Caderno de Escritas Fantasmas,Libro de escritura fantasma,Livro de Escrita Fantasma,Geisterbuch,Livre d'écriture fantomatique,Libro Spiritico,Kniha pro psaní duchů,Notatnik dla duchów,Блокнот,ゴーストライティングブック,수첩,Hayalet yazı defteri,鬼魂笔记,鬼魂筆記,Geestenboek,Βιβλίο Φαντασμάτων,Spøkelsesbok,Carte Scriere Paranormală,Spökbok,Блокнот,Книга за писане на призраци,Aavekirjoituskirja,Könyv,Ghost Writing Book.
Equipment_IRLightSensor,Infrared Light Sensor,Sensor Infravermelho,Sensor de luz infrarroja,Sensor Infravermelho,Infrarot-Lichtsensor,Capteur à lumière infrarouge,Sensore Luce Infrarossi,Infračervený senzor,Czujnik na podczerwień,Инфракрасный датчик,センサーライト,적외선 센서,Kızılötesi ışık sensörü,红外线传感器,紅外線感測器,Infraroodsensor,Υπέρυρθρος αισθητήρας φωτός,Infrarød Lyssensor,Senzor De Lumină Infraroșie,Infraröd ljussensor,Інфрачервоний датчик світла,Инфрачервен сензор за светлина,Infrapunavalotunnistin,Infraszenzor,Infrarød lys sensor.
Equipment_DOTSProjector,D.O.T.S Projector,Projetor D.O.T.S,Proyector D.O.T.S,Projetor D.O.T.S,D.O.T.S. Projektor,Projecteur D.O.T.S.,Puntatore D.O.T.S,D.O.T.S Projektor,Projektor D.O.T.S,Лазерный проектор,D.O.T.S.プロジェクター,도트 프로젝터,D.O.T.S Projektörü,点阵投影仪,點陣投影儀,D.O.T.S Projector,D.O.T.S προβολέας,D.O.T.S Projektor,Proiector D.O.T.S,D.O.t.s projektor,Проектор D.O.T.S,D.O.T.S проектор,D.O.T.S.-laserprojektori,D.O.T.S. projektor,D.o.t.s projektor.
Equipment_ParabolicMicrophone,Parabolic Microphone,Microfone Direcional,Micrófono parabólico,Microfone Parabólico,Parabolmikrofon,Microphone parabolique,Microfono Direzionale,Parabolický mikrofon,Mikrofon paraboliczny,Направленный микрофон,指向性マイク,마이크로폰,Parabolik mikrofon,收音器,收音器,Parabolische microfoon,Παραβολικό Μικρόφωνο,Parabol Mikrofon,Microfon Parabolic,Ljudförstärkare,Направлений мікрофон,Параболичен микрофон,Parabolinen mikrofoni,Parabolikus mikrofon,Parabolisk mikrofon
Equipment_Glowstick,Glowstick,Bastão de Luz UV,Barra luminosa,Bastão de Luz UV,Knicklicht,Bâton lumineux,Glowstick,Svítící tyčinka,Światło chemiczne,Неоновая палочка,ケミカルライト,야광 막대,Parlak çubuk,荧光棒,螢光棒,Gloedstok,Λάμψη,Lysstav,Băț Fosforescent,Ljusstav,Неонова паличка,Светеща Пръчка,Hohtotikku,UV-rúd,Knæklys
Equipment_HeadMountedCamera,Head Mounted Camera,Câmera de Cabeça,Cámara para la cabeza,Câmera Montada na Cabeça,Kopfkamera,Caméra frontale,Live Action Camera,Čelová kamera,Kamera na głowę,Камера с креплением на голову,ヘッドマウントカメラ,헬멧형 카메라,Kafaya sabitlenen kamera,头戴式摄像机,頭戴式攝像機,Hoofdcamera,Επικεφαλής Κάμερα,Kamera med hodefeste.,Cameră video frontală,Huvudmonterad kamera,Камера з кріпленням на голову,"Камера, монтирана на главата",Kypäräkamera,Fejkamera,Hovedmonteret kamera
EquipmentDesc_EMFReader,The Electro Magnetic Field Reader is a handheld device used to detect fluctuations in electromagnetic fields left behind by paranormal activity. It will beep with increasing volume depending on the amount of activity nearby.,"O Leitor de Campo Eletromagnético é um dispositivo portátil, usado para detectar flutuações nos campos eletromagnéticos deixados para trás por atividade paranormal. Emite um sinal sonoro com volume crescente, dependendo da quantidade de atividade nas proximidades.",El medidor de campos electromagnéticos (o medidor EMF) es un dispositivo portátil que detecta las fluctuaciones en el campo electromagnético causadas por los fantasmas. El sonido que emite incrementará en relación a la actividad próxima.,O Leitor de Campo Eletromagnético é um dispositivo portátil usado para detectar flutuações em campos eletromagnéticos deixados por atividade paranormal. Ele emitirá um bipe com volume crescente dependendo da quantidade de atividade nas proximidades.,"Der Elektromagnetfeld Reader ist ein Gerät, dass du in der Hand halten kannst um damit Schwankungen im elektromagnetischen Feld festzustellen, die durch paranormale Aktivitäten produziert werden. Bei Aktivität wird es anfangen zu Piepen. Steigt die Aktivität, steigt auch die Lautstärke des Piepens.",Le lecteur de champ électromagnétique est un appareil portable utilisé pour détecter les fluctuations des champs électromagnétiques laissées par l'activité paranormale. Il émettra un bip avec un volume croissant en fonction de la quantité d'activité à proximité.,L'Electro Magnetic Camp Reader è un dispositivo portatile utilizzato per rilevare fluttuazioni dei campi elettromagnetici rilasciati da attività paranormali. Esso emette un segnale acustico con aumento del volume in funzione della quantità di attività nelle vicinanze.,Čtečka elektromagnetického pole (EMF) je ruční zařízení sloužící k detekci kolísání v elektromagnetickém poli zanechaném paranormální aktivitou. Přístroj pípá s rostoucí hlasitostí v závislosti na množství aktivity v okolí.,Czytnik pola elektromagnetycznego to urządzenie ręczne służące do wykrywania wahań w polach elektromagnetycznych pozostawionych przez aktywność paranormalną. Sygnał dźwiękowy będzie się zwiększał wraz z wzrostem aktywności w pobliżu.,"Детектор электромагнитного поля (ЭМП) — устройство, позволяющее обнаружить колебания электромагнитных полей, вызванные паранормальной активностью. Он начнёт издавать всё более громкие звуки по мере приближения к источнику.","EMF（Electro Magnetic Field）
リーダーは、超常現象によって
発生する磁気異常を検出するた
めに使用される小型の装置。
付近の磁気の変動量に応じてセ
ンサーが反応する。",초자연적 현상에 의한 전자기장 파동을 감지하는 장비입니다. 주변에 있는 유령의 활동량에 따라 더 큰 소리를 냅니다.,"Elektro Manyetik Alan Okuyucu, paranormal aktivitenin geride bıraktığı elektromanyetik alanlardaki dalgalanmaları tespit etmek için kullanılan elde tutulan bir cihazdır. Yakındaki aktivite miktarına bağlı olarak artan ses seviyesinde bip sesi çıkaracaktır.","电磁场（EMF)读取仪是一种用于探测
超自然活动留下的电磁场波动的手持设备。
它会随着附近超自然活动的强度
而改变读数并发出哔哔声。","電磁場（EMF)讀取儀是一種用於探測
超自然活動留下的電磁場波動的手持設備。
它會隨著附近超自然活動的強度
而改變讀數並發出嗶嗶聲。","De elektromagnetische veldlezer of EMF is een draagbaar apparaat dat wordt gebruikt om fluctuaties in elektromagnetische velden te detecteren die zijn achtergelaten door paranormale activiteit. Het piept met toenemend volume, afhankelijk van de hoeveelheid paranormale activiteit in de buurt.",Το Electro Magnetic Field Reader είναι μια φορητή συσκευή που χρησιμοποιείται για την ανίχνευση διακυμάνσεων των ηλεκτρομαγνητικών πεδίων που άφησαν πίσω τους παραφυσική δραστηριότητα. Θα ηχήσει με αυξανόμενη ένταση ανάλογα με το ποσό της δραστηριότητας,Håndholdt detektor for måling av elektromagnetisk stråling. Brukes til å oppdage svingninger i elektromagnetiske felt etterlatt av paranormal aktivitet. Det piper med økende volum avhengig av aktivitetsmengden i nærheten.,Cititorul De Câmp electromagnetic este un instrument folosit pentru a detecta fluctuații în câmpurile electromagnetice lăsate în urmă de către activitatea paranormală. Acesta va bipăi cu intensitate treptată depinzând de activitatea din împrejurimi.,Elektromagnetiskafältläsaren är en handhållen enhet som du använder för att hitta fluktuationer i elektromagnetiska fält som lämnas av paranormal aktivitet. Det piper med ökande volym beroende på mängden aktivitet i närheten,"Детектор ЕМП - пристрій, що дозволяє виявити коливання електромагнітних полів, викликані паранормальною активністю. Він почне видавати все більш гучні звуки в міру наближення до джерела.","Четецът на електромагнитно поле е ръчно устройство, използвано за откриване на колебания в електромагнитните полета, оставени след паранормална активност. Той ще издаде звуков сигнал с увеличаване на силата на звука в зависимост от количеството дейност наблизо.","Sähkömagneettisen kentän (EMF) lukija on kädessä pidettävä laite, joka havaitsee paranormaalien ilmiöiden jättämät sähkömagneettiset kentät. Se piippaa nousevalla voimakkuudella riippuen läheisen aktiivisuuden määrästä.","Az EMF-mérő egy kézi készülék, amely érzékeli az elektromos mezőben lévő paranormális rezgéseket. Minél hangosabban jelez, annál nagyobb az aktivitás.","Den elektro magnetiske feltlæser er en håndholdt enhed, der anvendes til at detektere fluktuationer i elektromagnetiske felter efterladt af paranormal aktivitet. Det vil bippe med stigende volumen afhængigt af mængden af ​​aktivitet i nærheden."
EquipmentDesc_Flashlight,The Flashlight is a basic hunting tool designed to help you when the lights go out.,A lanterna é uma ferramenta básica de caça projetada para ajudá-lo quando as luzes se apagam.,"La linterna es una herramienta básica para todo cazador de fantasmas que se precie, es muy útil para cuando se va la luz.",A Lanterna é uma ferramenta básica de caça projetada para ajudá-lo quando as luzes se apagam.,"Die Taschenlampe ist ein grundlegendes Jagdwerkzeug, entwickelt um Ihnen zu helfen, wenn die Lichter ausgehen.",La lampe de poche est un outil de chasse de base conçu pour vous aider lorsque les lumières s'éteignent.,"La torcia è uno strumento di caccia base, progettata per aiutarti a vedere al buio.","Baterka je základním loveckým nástrojem navrženým tak, aby vám pomohl, když zhasnou světla.","Latarka jest podstawowym narzędziem myśliwskim zaprojektowanym aby pomóc Ci, gdy światła zgasną.","Фонарик — базовый инструмент в инвентаре любого охотника. Когда свет меркнет, фонарик становится особенно полезен.","暗がりの中で周囲を照らすこと
ができる懐中電灯は、ゴースト
ハンターの必需品ともいえる基
本ツールだ。",어둠 속에서 빛을 밝혀주는 기본 장비입니다.,"El feneri, ışıklar söndüğünde size yardımcı olmak için tasarlanmış basit bir av aracıdır.",手电筒可以让你摆脱黑暗。,手電筒可以讓你擺脫黑暗。,De Zaklamp is een eenvoudig stuk jachtgereedschap dat perfect is om je te helpen wanneer de lichten uitgaan.,Ο φακός είναι ένα βασικό εργαλείο για κυνήγι το οποίο σε βοηθάει εάν κλήσουν τα φώτα.,Lommelykten er et grunnleggende hjelpemiddel når lyset slukkes.,Lanterna este un instrument de vânătoare de bază conceput pentru a vă ajuta atunci când se stinge lumina.,"Ficklampan är ett grundläggande jakt verktyg, designat för att hjälpa dig när ljuset slocknar.","Ліхтарик - базовий інструмент в інвентарі будь-якого мисливця. Коли світло згасає, ліхтарик стає особливо корисним.","Фенерчето е основно средство за лов, предназначено да ви помогне, когато светлините угаснат.","Taskulamppu on haamujahdin yleistyökalu, jonka tarkoitus on auttaa sinua kun valot sammuvat.","A zseblámpa fog segítséget nyújtani, ha kialszanak a fények. Próbálj minél többet a világosban maradni!","Lommelygten er et grundlæggende jagtværktøj designet til at hjælpe dig, når lysene går ud."
EquipmentDesc_PhotoCamera,This camera has been fine tuned to take photos of the paranormal. This will help in situations where more evidence is needed.,Esta câmera foi ajustada para tirar fotos do paranormal. Isso ajudará em situações em que mais evidências são necessárias.,Una cámara que ha sido ajustada para fotografiar lo paranormal. Puede ser útil cuando necesites más pruebas.,Esta câmera foi ajustada para tirar fotos do paranormal. Isso ajudará em situações em que mais evidências são necessárias.,"Die Fotokamera wurde so modifiziert, dass sie Fotos von paranormalen Aktivitäten aufzunehmen kann. Dies wird in Situationen helfen, in denen zusätzliche Beweise benötigt werden.",Cet appareil photo a été mis au point pour prendre des photos du paranormal. Il vous aidera dans les situations où plus de preuves sont nécessaires.,Questa fotocamera è stata messa a punto per riuscire a scattare foto ad eventi paranormali. Tornerà molto utile qualora fosse necessario documentare con ulteriori prove.,"Tento fotoaparát byl vyladěný pro focení nadpřirozena. To pomůže v situacích, kdy je potřeba více důkazů.","Ten aparat został dopracowany do uchwycania paranormalnych zdarzeń. Pomoże to w sytuacjach, gdy potrzebne jest więcej dowodów.","Эта камера настроена так, чтобы вы смогли запечатлеть паранормальные явления. Воспользуйтесь ей для получения дополнительных улик.","超常現象を撮影できるよう
改造されている特別なカメラ。
より多くの証拠が必要な状況で
役立つ。",초자연적인 현상을 담을 수 있는 카메라입니다. 유령의 증거를 남기는 데 필요합니다.,"Bu kamera, doğaüstü olayların fotoğraflarını çekecek şekilde ayarlanmıştır. Bu, daha fazla kanıta ihtiyaç duyulan durumlarda yardımcı olacaktır.","这个改装相机可以
拍摄出超自然现象的照片。
这有助于获得更多证据。","这个改装相機可以
拍攝出超自然現象的照片。
這有助於獲得更多證據。",Deze Camera is nauwkeurig afgesteld om foto's te maken van het paranormale. Dit zal helpen in situaties waarin meer bewijs nodig is.,Αυτή η κάμερα έχει προσαρμοστεί στο να τραβάει φωτογραφίες των παραφυσικών. Αυτό θα σε βοηθήσει σε περίπτωση που χρειάζονται περισσότερες αποδείξεις,Dette kameraet er spesial tilpasset for å ta bilder av det paranormale. Veldig nyttig til å samle bevis med.,Acest aparat a fost reglat pentru a face fotografii in preajma paranormalului. Acest lucru vă va ajuta în situații în care este nevoie de mai multe dovezi foto.,Fotokameran har blivit finsjusterad till att kunna ta foton på det paranormala. Det kommer hjälpa i situationer när mer bevis behövs.,"Ця фотокамера налаштована так, щоб зробити фотографії паранормальних явищ. Скористайтеся нею для отримання додаткових доказів.","Тази камера е прецизно настроена да прави снимки на паранормалното. Това ще помогне в ситуации, когато са необходими повече доказателства.",Tämä kamera on hienosäädetty ottamaan kuvia paranormaaleista ilmiöistä. Se tulee auttamaan tilanteissa joissa tarvitset lisää todistusaineistoa.,"A kamera a paranomális jelenségek észlelésére lett specializálva. Jól jön, ha további bizonyítékok után kutatsz.","Dette kamera har været fint indstillet til at tage billeder af den paranormale. Dette vil hjælpe i situationer, hvor flere beviser er nødvendige."
EquipmentDesc_Lighter,A simple Lighter used for lighting candles and Smudge Sticks.,Um isqueiro simples usado para acender Incensos e Velas.,Un mechero simple que se utiliza para encender velas e incienso.,Um Isqueiro simples usado para acender velas e Paus de Incenso.,Ein einfaches Feuerzeug für das Anzünden von Kerzen und Räucherstäbchen.,Un briquet simple utilisé pour allumer des bougies et des bâton d'encens.,Un semplice accendino utilizzato per accendere candele e incenso.,Jednoduchý Zapalovač sloužící k zapalování svíček a vykuřovadel.,Zapalniczki są stosowane do podpalania świeczek oraz kadzidła.,"Простая зажигалка нужна для того, чтобы зажигать свечи и поджигать благовония.","キャンドルとスマッジスティッ
クに火をつける為に使う普通の
ライター。",양초와 정화 향초를 켤 때 사용합니다.,Mum ve tütsüleri yakmak için kullanılan basit bir çakmak.,可点燃蜡烛和圣木的简易打火机。,可點燃蠟燭和聖木的簡易打火機。,Een eenvoudige Aansteker die wordt gebruikt voor het aansteken van Kaarsen en Smudgesticks.,Ένας απλός αναπτήρας που χρησιμοποιείτε για να ανάψεις κεριά και Smudge Sticks.,En enkel Lighter som brukes til å tenne Stearinlys og Tørket Salvie,"O brichetă simplă, folosită pentru aprinderea lumânărilor și a tămâiei.",En simpel tändare för att tända stearinljus och rökelsebuketter.,"Проста запальничка, потрібна для того, щоб запалювати свічки й підпалювати пахощі.","Обикновена запалка, използвана за запалване на свещи и Smudge Sticks.",Aivan tavallinen flekki kynttilöiden ja suitsukkeiden sytyttämiseen.,"Egy sima öngyújtó, a gyertyák és füstölők meggyújtására.","En simpel lighter, der bruges til at lyse stearinlys og smudpinde."
EquipmentDesc_Candle,A Candle is a great way of keeping a room lit when the lights go out as it isn't dependent on electricity.,"Uma vela é uma ótima maneira de manter uma sala acesa quando as luzes se apagam, pois não depende de eletricidade.","Una vela viene bien para mantener una habitación iluminada cuando se va la luz, ya que no depende de la electricidad.","Uma Vela é uma ótima maneira de manter uma sala iluminada quando as luzes se apagam, pois não depende da eletricidade.","Eine Kerze ist in der Lage im Raum Licht zu schaffen, selbst ohne Stromversorgung.",Une bougie est un excellent moyen de garder une pièce éclairée lorsque les lumières s'éteignent car elle ne dépend pas de l'électricité.,Accendere una candela è un ottimo metodo per mantenere una stanza illuminata in assenza di corrente in quanto non è dipendente da energia elettrica.,"Svíčka je skvělý způsob, jak udržet pokoj osvětlený, když zhasnou světla, protože není závislá na elektřině.","Świeczka jest doskonałym sposobem na utrzymanie pokoju oświetlonego kiedy gaśnie światło, ponieważ nie jest zależna od energii elektrycznej.","Свечи — отличный источник света, не требующий электричества.","電力を必要としないキャンドル
はさまざまな環境下で部屋に明
かりを灯すことができる。",전기 없이도 방을 밝혀줄 수 있습니다.,"Mum, elektriğe bağlı olmadığı için ışıklar söndüğünde odayı aydınlatmanın harika bir yoludur.","没电时可用蜡烛
来保持房间明亮。","沒電時可用蠟燭
來保持房間明亮。",Een kaars is een geweldige manier om een kamer verlicht te houden wanneer de lichten uitgaan.,"Ένας καλός τρόπος να κρατήσεις ένα δωμάτιο φωτισμένο όταν κλείσουν τα φώτα είναι ένα καιρί, επειδή δεν βασίζεται στο ρεύμα.",Stearinlys er en super måte å lyse opp et rom når du ikke har eller kan bruke strøm.,"O lumânare este o sursă excelentă de lumină, folosită pentru a menține o cameră iluminată după ce este întrerupt curentul.",Ett stearinljus är ett bra sätt att hålla det ljust i ett rum när strömmen går ljus för att den inte behöver ström för att fungera.,"Свічки - відмінне джерело світла, що не потребує електрики.","Свещта е чудесен начин да запазите стая осветена, когато светлините угаснат, тъй като не зависи от електричеството.",Perinteinen kynttilä on erinomainen tapa pitää huone valaistuna sähkövalaistuksen puuttuessa.,"A gyertya egy remek választás a szoba megvilágítására, ha éppen elment az áram.","Et stearinlys er en fantastisk måde at holde et værelse på, når lysene går ud, da det ikke er afhængig af elektricitet."
EquipmentDesc_Blacklight,This UV light can spot even the most subtle paranormal prints and is one of the most vital pieces of equipment for tracking Ghosts.,Esta lanterna UV pode detectar até as impressões paranormais mais sutis e é uma das peças mais vitais do equipamento para rastrear fantasmas.,La linterna ultravioleta detecta hasta las huellas paranormales más sutiles y es una pieza de equipamiento vital para detectar fantasmas.,Esta Lanterna UV pode detectar até mesmo as impressões paranormais mais sutis e é uma das peças mais vitais do equipamento para rastrear Fantasmas.,Das UV-Licht kann die subtilsten Abdrücke von Geistern zeigen und ist damit eines der wichtigsten Ausrüstungsgegenstände um sie zu verfolgen.,Cette lampe UV peut repérer même les empreintes paranormales les plus subtiles et est l'un des équipements les plus vitaux pour le suivi des fantômes.,Questa luce UV può individuare il maggior numero di impronte paranormali ed è uno dei mezzi più importanti per il tracciamento di un fantasma.,Toto UV světlo může odhalit i ty nejjemnější paranormální otisky a je jedním z nejdůležitějších prvků výbavy pro sledování duchů.,Dzięki światłu UV możesz dostrzec paranormalne odciski palców.,Ультрафиолетовый фонарик проявит любые следы призраков и является одним из важнейших инструментов охотника за призраками.,"超常現象の１つであるゴースト
の指紋を検出できるUVライト。
ゴーストハントにはかかせない
必需品だ。","작은 흔적도 발견할 수 있으며, 유령을 추적하는 데 가장 중요한 장비입니다.","Bu UV ışığı, en ince paranormal izleri bile tespit edebilir ve hayaletleri takip etmek için en önemli ekipmanlardan biridir.","紫外线手电筒可以照出鬼魂的手印和足迹，
是追踪鬼魂的重要装备之一。","紫外線手電筒可以照出鬼魂的手印和足跡，
是追蹤鬼魂的重要裝備之一。",Dit UV-licht kan zelfs de meest subtiele paranormale afdrukken herkennen en is een van de meest essentiële apparaten voor het volgen van geesten.,Αυτό το UV light μπορεί να εντοπίσει ακόμα και τα πιό διακριτικά μεταφυσικά γραψήματα και είναι ένα απο τα πιό συμαντικά κομμάτια εξοπλισμού στον εντοπισμό φαντασμάτων.,Dette UV-Lyset kan oppdage selv de minste paranormale avtrykkene. Dette er et av de viktigste redskapene du kan bruke for å finne gjennferd.,"Această lumină UV poate detecta chiar si cele mai subtile și amprente paranormale, si este una dintre cele mai vitale piese din echipament pentru vanatoarea de fantome.",Detta UV-Ljus kan upptäcka även de mest subtila paranormala avtrycken och är en av de viktigaste verktygen för att spåra spöken.,Ультрафіолетовий ліхтарик проявить будь-які сліди привидів і є одним з найважливіших інструментів для виявлення привидів.,Тази UV светлина може да забележи дори най-фините паранормални отпечатъци и е една от най-важните части за оборудване за проследяване на Призраци.,Tämä UV-taskulamppu voi näyttää pienimmänkin paranormaalin jäljen ja on yksi tärkeimmistä tavaroista aaveiden jäljittämisessä.,"Az UV-lámpa a legapróbb kísértetek által hagyott nyomokat is felfedi, ezáltal az egyik legfontosabb eszköze a készletednek.",Dette UV-lys kan få øje på selv de mest subtile paranormale udskrifter og er et af de mest vitale stykker udstyr til sporing af spøgelser.
